"index","start-time","end-time","event?","event-type","RxD event","TxD event","RxD data","TxD data"
"0","25.40 ms","25.40 ms","false","","","","0",""
"1","25.40 ms","25.40 ms","true","","FRAME","","",""
"2","50.98 ms","52.70 ms","false","","","","129",""
"3","52.88 ms","53.58 ms","false","","","","18",""
"4","54.80 ms","56.50 ms","false","","","","241",""
"5","56.70 ms","58.40 ms","false","","","","129",""
"6","58.60 ms","59.30 ms","false","","","","5",""
"7","91.52 ms","91.70 ms","false","","","","128",""
"8","91.90 ms","92.66 ms","false","","","","241",""
"9","92.86 ms","93.54 ms","false","","","","18",""
"10","93.92 ms","94.50 ms","false","","","","3",""
"11","94.78 ms","95.56 ms","false","","","","193",""
"12","95.74 ms","96.52 ms","false","","","","234",""
"13","97.00 ms","97.48 ms","false","","","","143",""
"14","98.14 ms","204.54 ms","false","","","","192",""
"15","205.32 ms","206.44 ms","false","","","","128",""
"16","206.62 ms","207.32 ms","false","","","","18",""
"17","208.54 ms","210.24 ms","false","","","","241",""
"18","210.44 ms","211.12 ms","false","","","","2",""
"19","212.34 ms","213.02 ms","false","","","","26",""
"20","214.26 ms","215.96 ms","false","","","","145",""
"21","216.44 ms","216.84 ms","false","","","","48",""
"22","250.76 ms","250.96 ms","false","","","","128",""
"23","251.14 ms","251.92 ms","false","","","","241",""
"24","252.10 ms","252.78 ms","false","","","","18",""
"25","253.06 ms","253.74 ms","false","","","","18",""
"26","254.02 ms","254.70 ms","false","","","","90",""
"27","255.00 ms","255.76 ms","false","","","","145",""
"28","256.04 ms","256.62 ms","false","","","","51",""
"29","256.90 ms","257.58 ms","false","","","","50",""
"30","257.88 ms","258.54 ms","false","","","","57",""
"31","258.84 ms","259.50 ms","false","","","","50",""
"32","260.08 ms","260.46 ms","false","","","","48",""
"33","260.76 ms","261.42 ms","false","","","","45",""
"34","261.72 ms","262.38 ms","false","","","","49",""
"35","262.86 ms","263.34 ms","false","","","","55",""
"36","263.82 ms","264.30 ms","false","","","","71",""
"37","264.60 ms","265.26 ms","false","","","","50",""
"38","265.56 ms","266.22 ms","false","","","","42",""
"39","267.18 ms","267.18 ms","false","","","","0",""
"40","268.14 ms","268.14 ms","false","","","","0",""
"41","269.10 ms","269.10 ms","false","","","","0",""
"42","270.06 ms","270.06 ms","false","","","","0",""
"43","271.02 ms","271.02 ms","false","","","","0",""
"44","271.50 ms","362.90 ms","false","","","","184",""
"45","363.68 ms","364.80 ms","false","","","","128",""
"46","365.00 ms","365.68 ms","false","","","","18",""
"47","366.90 ms","368.62 ms","false","","","","241",""
"48","368.80 ms","369.50 ms","false","","","","2",""
"49","370.70 ms","371.40 ms","false","","","","26",""
"50","372.62 ms","374.32 ms","false","","","","145",""
"51","374.80 ms","375.22 ms","false","","","","48",""
"52","409.54 ms","409.72 ms","false","","","","128",""
"53","409.92 ms","410.68 ms","false","","","","241",""
"54","410.88 ms","411.54 ms","false","","","","18",""
"55","411.84 ms","412.50 ms","false","","","","18",""
"56","412.80 ms","413.46 ms","false","","","","90",""
"57","413.76 ms","414.52 ms","false","","","","145",""
"58","414.82 ms","415.40 ms","false","","","","51",""
"59","415.68 ms","416.36 ms","false","","","","50",""
"60","416.64 ms","417.32 ms","false","","","","57",""
"61","417.60 ms","418.28 ms","false","","","","50",""
"62","418.84 ms","419.24 ms","false","","","","48",""
"63","419.52 ms","420.20 ms","false","","","","45",""
"64","420.48 ms","421.16 ms","false","","","","49",""
"65","421.64 ms","422.12 ms","false","","","","55",""
"66","422.60 ms","423.08 ms","false","","","","71",""
"67","423.36 ms","424.04 ms","false","","","","50",""
"68","424.32 ms","425.00 ms","false","","","","42",""
"69","425.96 ms","425.96 ms","false","","","","0",""
"70","426.92 ms","426.92 ms","false","","","","0",""
"71","427.88 ms","427.88 ms","false","","","","0",""
"72","428.84 ms","428.84 ms","false","","","","0",""
"73","429.80 ms","429.80 ms","false","","","","0",""
"74","430.28 ms","520.60 ms","false","","","","184",""
"75","521.38 ms","522.50 ms","false","","","","128",""
"76","522.70 ms","523.38 ms","false","","","","18",""
"77","524.60 ms","526.32 ms","false","","","","241",""
"78","526.50 ms","527.20 ms","false","","","","2",""
"79","528.42 ms","529.10 ms","false","","","","26",""
"80","530.32 ms","532.02 ms","false","","","","145",""
"81","532.52 ms","532.90 ms","false","","","","48",""
"82","567.14 ms","567.34 ms","false","","","","128",""
"83","567.54 ms","568.30 ms","false","","","","241",""
"84","568.50 ms","569.16 ms","false","","","","18",""
"85","569.46 ms","570.12 ms","false","","","","18",""
"86","570.42 ms","571.08 ms","false","","","","90",""
"87","571.38 ms","572.14 ms","false","","","","145",""
"88","572.44 ms","573.00 ms","false","","","","51",""
"89","573.30 ms","573.96 ms","false","","","","50",""
"90","574.26 ms","574.92 ms","false","","","","57",""
"91","575.22 ms","575.88 ms","false","","","","50",""
"92","576.46 ms","576.84 ms","false","","","","48",""
"93","577.14 ms","577.80 ms","false","","","","45",""
"94","578.10 ms","578.76 ms","false","","","","49",""
"95","579.26 ms","579.72 ms","false","","","","55",""
"96","580.22 ms","580.70 ms","false","","","","71",""
"97","580.98 ms","581.66 ms","false","","","","50",""
"98","581.94 ms","582.62 ms","false","","","","42",""
"99","583.58 ms","583.58 ms","false","","","","0",""
"100","584.54 ms","584.54 ms","false","","","","0",""
"101","585.50 ms","585.50 ms","false","","","","0",""
"102","586.46 ms","586.46 ms","false","","","","0",""
"103","587.42 ms","587.42 ms","false","","","","0",""
"104","587.90 ms","679.88 ms","false","","","","184",""
"105","680.68 ms","681.80 ms","false","","","","128",""
"106","681.98 ms","682.68 ms","false","","","","18",""
"107","683.90 ms","685.60 ms","false","","","","241",""
"108","685.80 ms","686.48 ms","false","","","","2",""
"109","687.70 ms","688.40 ms","false","","","","26",""
"110","689.60 ms","691.32 ms","false","","","","154",""
"111","691.52 ms","692.20 ms","false","","","","57",""
"112","726.02 ms","726.20 ms","false","","","","128",""
"113","726.40 ms","727.16 ms","false","","","","241",""
"114","727.36 ms","728.02 ms","false","","","","18",""
"115","728.32 ms","728.98 ms","false","","","","18",""
"116","729.28 ms","729.94 ms","false","","","","90",""
"117","730.24 ms","731.00 ms","false","","","","154",""
"118","731.30 ms","731.88 ms","false","","","","51",""
"119","732.16 ms","732.84 ms","false","","","","50",""
"120","733.12 ms","733.80 ms","false","","","","57",""
"121","734.08 ms","734.76 ms","false","","","","50",""
"122","735.32 ms","735.72 ms","false","","","","48",""
"123","736.00 ms","736.68 ms","false","","","","45",""
"124","736.96 ms","737.64 ms","false","","","","49",""
"125","738.12 ms","738.60 ms","false","","","","55",""
"126","739.08 ms","739.56 ms","false","","","","71",""
"127","740.14 ms","740.52 ms","false","","","","48",""
"128","741.48 ms","741.48 ms","false","","","","0",""
"129","742.44 ms","742.44 ms","false","","","","0",""
"130","743.40 ms","743.40 ms","false","","","","0",""
"131","744.36 ms","744.36 ms","false","","","","0",""
"132","745.32 ms","745.32 ms","false","","","","0",""
"133","746.28 ms","746.28 ms","false","","","","0",""
"134","746.56 ms","837.60 ms","false","","","","149",""
"135","838.38 ms","839.50 ms","false","","","","128",""
"136","839.68 ms","840.38 ms","false","","","","18",""
"137","841.60 ms","843.32 ms","false","","","","241",""
"138","843.50 ms","844.20 ms","false","","","","2",""
"139","845.40 ms","846.10 ms","false","","","","26",""
"140","847.32 ms","849.02 ms","false","","","","154",""
"141","849.22 ms","849.90 ms","false","","","","57",""
"142","883.54 ms","883.72 ms","false","","","","128",""
"143","883.92 ms","884.68 ms","false","","","","241",""
"144","884.88 ms","885.54 ms","false","","","","18",""
"145","885.84 ms","886.50 ms","false","","","","18",""
"146","886.80 ms","887.46 ms","false","","","","90",""
"147","887.76 ms","888.52 ms","false","","","","154",""
"148","888.82 ms","889.40 ms","false","","","","51",""
"149","889.68 ms","890.36 ms","false","","","","50",""
"150","890.64 ms","891.32 ms","false","","","","57",""
"151","891.60 ms","892.28 ms","false","","","","50",""
"152","892.84 ms","893.24 ms","false","","","","48",""
"153","893.52 ms","894.20 ms","false","","","","45",""
"154","894.48 ms","895.16 ms","false","","","","49",""
"155","895.64 ms","896.12 ms","false","","","","55",""
"156","896.60 ms","897.08 ms","false","","","","71",""
"157","897.66 ms","898.04 ms","false","","","","48",""
"158","899.00 ms","899.00 ms","false","","","","0",""
"159","899.96 ms","899.96 ms","false","","","","0",""
"160","900.92 ms","900.92 ms","false","","","","0",""
"161","901.88 ms","901.88 ms","false","","","","0",""
"162","902.84 ms","902.84 ms","false","","","","0",""
"163","903.80 ms","903.80 ms","false","","","","0",""
"164","904.08 ms","996.88 ms","false","","","","149",""
"165","997.66 ms","998.78 ms","false","","","","128",""
"166","998.98 ms","999.68 ms","false","","","","18",""
"167","1.00 s","1.00 s","false","","","","241",""
"168","1.00 s","1.00 s","false","","","","2",""
"169","1.00 s","1.01 s","false","","","","33",""
"170","1.01 s","1.01 s","false","","","","8",""
"171","1.01 s","1.04 s","false","","","","174",""
"172","1.04 s","1.04 s","false","","","","128",""
"173","1.04 s","1.04 s","false","","","","241",""
"174","1.04 s","1.05 s","false","","","","18",""
"175","1.05 s","1.05 s","false","","","","52",""
"176","1.05 s","1.05 s","false","","","","97",""
"177","1.05 s","1.05 s","false","","","","8",""
"178","1.05 s","1.05 s","false","","","","0",""
"179","1.05 s","1.05 s","false","","","","0",""
"180","1.05 s","1.05 s","false","","","","0",""
"181","1.05 s","1.05 s","false","","","","0",""
"182","1.05 s","1.05 s","false","","","","0",""
"183","1.05 s","1.05 s","false","","","","0",""
"184","1.06 s","1.06 s","false","","","","0",""
"185","1.06 s","1.06 s","false","","","","255",""
"186","1.06 s","1.06 s","false","","","","255",""
"187","1.06 s","1.06 s","false","","","","255",""
"188","1.06 s","1.06 s","false","","","","255",""
"189","1.06 s","1.06 s","false","","","","0",""
"190","1.06 s","1.06 s","false","","","","255",""
"191","1.06 s","1.06 s","false","","","","67",""
"192","1.06 s","1.06 s","false","","","","202",""
"193","1.06 s","1.06 s","false","","","","63",""
"194","1.06 s","1.06 s","false","","","","64",""
"195","1.07 s","1.07 s","false","","","","255",""
"196","1.07 s","1.07 s","false","","","","167",""
"197","1.07 s","1.07 s","false","","","","255",""
"198","1.07 s","1.07 s","false","","","","0",""
"199","1.07 s","1.07 s","false","","","","255",""
"200","1.07 s","1.07 s","false","","","","255",""
"201","1.07 s","1.07 s","false","","","","255",""
"202","1.07 s","1.07 s","false","","","","255",""
"203","1.07 s","1.07 s","false","","","","0",""
"204","1.07 s","1.07 s","false","","","","0",""
"205","1.08 s","1.08 s","false","","","","0",""
"206","1.08 s","1.08 s","false","","","","0",""
"207","1.08 s","1.08 s","false","","","","255",""
"208","1.08 s","1.08 s","false","","","","255",""
"209","1.08 s","1.08 s","false","","","","255",""
"210","1.08 s","1.08 s","false","","","","255",""
"211","1.08 s","1.08 s","false","","","","255",""
"212","1.08 s","1.08 s","false","","","","255",""
"213","1.08 s","1.08 s","false","","","","71",""
"214","1.08 s","1.08 s","false","","","","71",""
"215","1.09 s","1.09 s","false","","","","255",""
"216","1.09 s","1.09 s","false","","","","255",""
"217","1.09 s","1.09 s","false","","","","255",""
"218","1.09 s","1.09 s","false","","","","128",""
"219","1.09 s","1.09 s","false","","","","255",""
"220","1.09 s","1.09 s","false","","","","255",""
"221","1.09 s","1.09 s","false","","","","255",""
"222","1.09 s","1.09 s","false","","","","255",""
"223","1.09 s","1.09 s","false","","","","0",""
"224","1.09 s","1.09 s","false","","","","4",""
"225","1.09 s","1.09 s","false","","","","255",""
"226","1.10 s","1.10 s","false","","","","255",""
"227","1.10 s","1.10 s","false","","","","255",""
"228","1.10 s","1.10 s","false","","","","74",""
"229","1.16 s","1.16 s","false","","","","128",""
"230","1.16 s","1.16 s","false","","","","18",""
"231","1.16 s","1.16 s","false","","","","241",""
"232","1.16 s","1.16 s","false","","","","2",""
"233","1.16 s","1.16 s","false","","","","33",""
"234","1.16 s","1.16 s","false","","","","8",""
"235","1.17 s","1.20 s","false","","","","174",""
"236","1.20 s","1.20 s","false","","","","128",""
"237","1.20 s","1.20 s","false","","","","241",""
"238","1.20 s","1.20 s","false","","","","18",""
"239","1.20 s","1.20 s","false","","","","52",""
"240","1.20 s","1.21 s","false","","","","97",""
"241","1.21 s","1.21 s","false","","","","8",""
"242","1.21 s","1.21 s","false","","","","0",""
"243","1.21 s","1.21 s","false","","","","0",""
"244","1.21 s","1.21 s","false","","","","0",""
"245","1.21 s","1.21 s","false","","","","0",""
"246","1.21 s","1.21 s","false","","","","0",""
"247","1.21 s","1.21 s","false","","","","0",""
"248","1.21 s","1.21 s","false","","","","0",""
"249","1.21 s","1.21 s","false","","","","255",""
"250","1.21 s","1.21 s","false","","","","255",""
"251","1.22 s","1.22 s","false","","","","255",""
"252","1.22 s","1.22 s","false","","","","255",""
"253","1.22 s","1.22 s","false","","","","0",""
"254","1.22 s","1.22 s","false","","","","255",""
"255","1.22 s","1.22 s","false","","","","67",""
"256","1.22 s","1.22 s","false","","","","202",""
"257","1.22 s","1.22 s","false","","","","63",""
"258","1.22 s","1.22 s","false","","","","64",""
"259","1.22 s","1.22 s","false","","","","255",""
"260","1.22 s","1.22 s","false","","","","167",""
"261","1.23 s","1.23 s","false","","","","255",""
"262","1.23 s","1.23 s","false","","","","0",""
"263","1.23 s","1.23 s","false","","","","255",""
"264","1.23 s","1.23 s","false","","","","255",""
"265","1.23 s","1.23 s","false","","","","255",""
"266","1.23 s","1.23 s","false","","","","255",""
"267","1.23 s","1.23 s","false","","","","0",""
"268","1.23 s","1.23 s","false","","","","0",""
"269","1.23 s","1.23 s","false","","","","0",""
"270","1.23 s","1.23 s","false","","","","0",""
"271","1.23 s","1.23 s","false","","","","255",""
"272","1.24 s","1.24 s","false","","","","255",""
"273","1.24 s","1.24 s","false","","","","255",""
"274","1.24 s","1.24 s","false","","","","255",""
"275","1.24 s","1.24 s","false","","","","255",""
"276","1.24 s","1.24 s","false","","","","255",""
"277","1.24 s","1.24 s","false","","","","71",""
"278","1.24 s","1.24 s","false","","","","71",""
"279","1.24 s","1.24 s","false","","","","255",""
"280","1.24 s","1.24 s","false","","","","255",""
"281","1.24 s","1.24 s","false","","","","255",""
"282","1.25 s","1.25 s","false","","","","128",""
"283","1.25 s","1.25 s","false","","","","255",""
"284","1.25 s","1.25 s","false","","","","255",""
"285","1.25 s","1.25 s","false","","","","255",""
"286","1.25 s","1.25 s","false","","","","255",""
"287","1.25 s","1.25 s","false","","","","0",""
"288","1.25 s","1.25 s","false","","","","4",""
"289","1.25 s","1.25 s","false","","","","255",""
"290","1.25 s","1.25 s","false","","","","255",""
"291","1.25 s","1.25 s","false","","","","255",""
"292","1.25 s","1.26 s","false","","","","74",""
"293","1.31 s","1.31 s","false","","","","128",""
"294","1.31 s","1.32 s","false","","","","18",""
"295","1.32 s","1.32 s","false","","","","241",""
"296","1.32 s","1.32 s","false","","","","2",""
"297","1.32 s","1.32 s","false","","","","33",""
"298","1.32 s","1.32 s","false","","","","8",""
"299","1.32 s","1.36 s","false","","","","174",""
"300","1.36 s","1.36 s","false","","","","128",""
"301","1.36 s","1.36 s","false","","","","241",""
"302","1.36 s","1.36 s","false","","","","18",""
"303","1.36 s","1.36 s","false","","","","52",""
"304","1.36 s","1.36 s","false","","","","97",""
"305","1.36 s","1.36 s","false","","","","8",""
"306","1.36 s","1.36 s","false","","","","0",""
"307","1.37 s","1.37 s","false","","","","0",""
"308","1.37 s","1.37 s","false","","","","0",""
"309","1.37 s","1.37 s","false","","","","0",""
"310","1.37 s","1.37 s","false","","","","0",""
"311","1.37 s","1.37 s","false","","","","0",""
"312","1.37 s","1.37 s","false","","","","0",""
"313","1.37 s","1.37 s","false","","","","255",""
"314","1.37 s","1.37 s","false","","","","255",""
"315","1.37 s","1.37 s","false","","","","255",""
"316","1.37 s","1.37 s","false","","","","255",""
"317","1.38 s","1.38 s","false","","","","0",""
"318","1.38 s","1.38 s","false","","","","255",""
"319","1.38 s","1.38 s","false","","","","67",""
"320","1.38 s","1.38 s","false","","","","202",""
"321","1.38 s","1.38 s","false","","","","63",""
"322","1.38 s","1.38 s","false","","","","64",""
"323","1.38 s","1.38 s","false","","","","255",""
"324","1.38 s","1.38 s","false","","","","167",""
"325","1.38 s","1.38 s","false","","","","255",""
"326","1.38 s","1.38 s","false","","","","0",""
"327","1.38 s","1.38 s","false","","","","255",""
"328","1.39 s","1.39 s","false","","","","255",""
